latin_name,english_name,german_name,euring_code,include
Vanellus vanellus,Northern Lapwing,Kiebitz,4930,X
Milvus milvus,Red Kite,Rotmilan,2390,
Lanius collurio,Red-backed Shrike,Neuntöter,15150,X
Lullula arborea,Woodlark,Heidelerche,9740,X
Alauda arvensis,Eurasian Skylark,Feldlerche,9760,X
Saxicola rubetra,Whinchat,Braunkehlchen,11370,X
Emberiza calandra,Corn Bunting,Grauammer,18820,X
Emberiza citrinella,Yellowhammer,Goldammer,18570,X
Buteo buteo,Common Buzzard,Mäusebussard,2870,X
Sturnus vulgaris,Common Starling,Star,15820,X
Perdix perdix,Grey Partridge,Rebhuhn,3670,X
Anthus pratensis,Meadow Pipit,Wiesenpieper,10110,X
