"species","scale","resolution_m","data_source","thinning_dist_m","brt_start_lr","brutzeitcode_filter","predictor_mode"
"Vanellus vanellus","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Vanellus vanellus","landscape","1000","DDA territories","2000","0.08","","table"
"Vanellus vanellus","habitat","200","MhB point counts","400","0.08","","table"
"Milvus milvus","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Milvus milvus","landscape","1000","DDA territories","2000","0.08","","table"
"Milvus milvus","habitat","200","MhB point counts","400","0.08","","table"
"Lanius collurio","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Lanius collurio","landscape","1000","DDA territories","2000","0.08","","table"
"Lanius collurio","habitat","200","MhB point counts","400","0.08","","table"
"Lullula arborea","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Lullula arborea","landscape","1000","DDA territories","2000","0.08","","table"
"Lullula arborea","habitat","200","MhB point counts","400","0.08","","table"
"Alauda arvensis","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Alauda arvensis","landscape","1000","DDA territories","2000","0.08","","table"
"Alauda arvensis","habitat","200","MhB point counts","400","0.08","","table"
"Saxicola rubetra","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Saxicola rubetra","landscape","1000","DDA territories","2000","0.08","","table"
"Saxicola rubetra","habitat","200","MhB point counts","400","0.08","","table"
"Emberiza calandra","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Emberiza calandra","landscape","1000","DDA territories","2000","0.08","","table"
"Emberiza calandra","habitat","200","MhB point counts","400","0.08","","table"
"Emberiza citrinella","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Emberiza citrinella","landscape","1000","DDA territories","2000","0.08","","table"
"Emberiza citrinella","habitat","200","MhB point counts","400","0.08","","table"
"Buteo buteo","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Buteo buteo","landscape","1000","MhB point counts","2000","0.08","","table"
"Buteo buteo","habitat","200","MhB point counts","400","0.08","C","table"
"Sturnus vulgaris","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Sturnus vulgaris","landscape","1000","MhB point counts","2000","0.08","","table"
"Sturnus vulgaris","habitat","200","MhB point counts","400","0.08","","table"
"Perdix perdix","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Perdix perdix","landscape","1000","DDA territories","2000","0.08","","table"
"Perdix perdix","habitat","200","MhB point counts","400","0.08","","table"
"Anthus pratensis","climate","50000","EBBA2/CHELSA","1e+05","0.01","","table"
"Anthus pratensis","landscape","1000","DDA territories","2000","0.08","","table"
"Anthus pratensis","habitat","200","MhB point counts","400","0.08","","table"
