"species","climate","landscape","habitat"
"Vanellus vanellus","bio1","",""
"Vanellus vanellus","bio2","",""
"Vanellus vanellus","bio3","",""
"Vanellus vanellus","bio4","",""
"Vanellus vanellus","bio5","",""
"Vanellus vanellus","bio6","",""
"Vanellus vanellus","bio7","",""
"Vanellus vanellus","bio8","",""
"Vanellus vanellus","bio9","",""
"Vanellus vanellus","bio10","",""
"Vanellus vanellus","bio11","",""
"Vanellus vanellus","bio12","",""
"Vanellus vanellus","bio13","",""
"Vanellus vanellus","bio14","",""
"Vanellus vanellus","bio15","",""
"Vanellus vanellus","bio16","",""
"Vanellus vanellus","bio17","",""
"Vanellus vanellus","bio18","",""
"Vanellus vanellus","bio19","",""
"Vanellus vanellus","","grassland","grassland"
"Vanellus vanellus","","winter_cereals","winter_cereals"
"Vanellus vanellus","","summer_cereals","summer_cereals"
"Vanellus vanellus","","maize","maize"
"Vanellus vanellus","","root_crops","root_crops"
"Vanellus vanellus","","rapeseed","rapeseed"
"Vanellus vanellus","","sunflower","sunflower"
"Vanellus vanellus","","vegetables","vegetables"
"Vanellus vanellus","","legumes","legumes"
"Vanellus vanellus","","",""
"Vanellus vanellus","","fallow","fallow"
"Vanellus vanellus","","grapevine","grapevine"
"Vanellus vanellus","","hops","hops"
"Vanellus vanellus","","orchards_and_berries","orchards_and_berries"
"Vanellus vanellus","","built_up","built_up"
"Vanellus vanellus","","trees","trees"
"Vanellus vanellus","","water","water"
"Vanellus vanellus","","elevation","elevation"
"Vanellus vanellus","","slope","slope"
"Vanellus vanellus","","solar_radiation","solar_radiation"
"Milvus milvus","bio1","",""
"Milvus milvus","bio2","",""
"Milvus milvus","bio3","",""
"Milvus milvus","bio4","",""
"Milvus milvus","bio5","",""
"Milvus milvus","bio6","",""
"Milvus milvus","bio7","",""
"Milvus milvus","bio8","",""
"Milvus milvus","bio9","",""
"Milvus milvus","bio10","",""
"Milvus milvus","bio11","",""
"Milvus milvus","bio12","",""
"Milvus milvus","bio13","",""
"Milvus milvus","bio14","",""
"Milvus milvus","bio15","",""
"Milvus milvus","bio16","",""
